from_account_no,merchant_id,tx_id,amount,currency,channel,created_at
A-2000,M-Grocery,PY-000-00-1743678420,163.92,USD,pos,2025-04-03T11:07:00
A-2000,M-Electro,PY-000-01-1743682080,149.84,USD,mobile,2025-04-03T12:08:00
A-2000,M-Sports,PY-000-02-1743694620,9.90,USD,pos,2025-04-03T15:37:00
A-2000,M-Tools,PY-000-03-1743704040,133.64,USD,mobile,2025-04-03T18:14:00
A-2000,M-Cinema,PY-000-04-1743716700,94.04,USD,online,2025-04-03T21:45:00
A-2001,M-Grocery,PY-001-00-1743765420,167.66,USD,pos,2025-04-04T11:17:00
A-2001,M-Home,PY-001-01-1743776820,63.30,USD,pos,2025-04-04T14:27:00
A-2001,M-Online,PY-001-02-1743782760,85.44,USD,online,2025-04-04T16:06:00
A-2001,M-Gas,PY-001-03-1743795480,178.15,USD,mobile,2025-04-04T19:38:00
A-2001,M-Electro,PY-001-04-1743806040,214.17,USD,online,2025-04-04T22:34:00
A-2002,M-FastFood,PY-002-00-1743845700,182.98,USD,mobile,2025-04-05T09:35:00
A-2002,M-Streaming,PY-002-01-1743860160,155.89,USD,pos,2025-04-05T13:36:00
A-2002,M-FastFood,PY-002-02-1743873240,216.79,USD,pos,2025-04-05T17:14:00
A-2002,M-Gas,PY-002-03-1743877440,101.39,USD,online,2025-04-05T18:24:00
A-2002,M-Hotel,PY-002-04-1743888180,48.46,USD,online,2025-04-05T21:23:00
A-2003,M-Online,PY-003-00-1743940740,135.18,USD,pos,2025-04-06T11:59:00
A-2003,M-Books,PY-003-01-1743950760,38.46,USD,online,2025-04-06T14:46:00
A-2003,M-Cinema,PY-003-02-1743958740,50.66,USD,online,2025-04-06T16:59:00
A-2003,M-Coffee,PY-003-03-1743963240,177.69,USD,online,2025-04-06T18:14:00
A-2003,M-Streaming,PY-003-04-1743977040,201.15,USD,mobile,2025-04-06T22:04:00
A-2004,M-Streaming,PY-004-00-1744024800,145.23,USD,online,2025-04-07T11:20:00
A-2004,M-Pharmacy,PY-004-01-1744036140,60.48,USD,pos,2025-04-07T14:29:00
A-2004,M-Cinema,PY-004-02-1744047300,60.01,USD,mobile,2025-04-07T17:35:00
A-2004,M-Garden,PY-004-03-1744055820,89.67,USD,pos,2025-04-07T19:57:00
A-2004,M-Pet,PY-004-04-1744061520,22.73,USD,pos,2025-04-07T21:32:00
A-2005,M-RideShare,PY-005-00-1744103340,174.88,USD,online,2025-04-08T09:09:00
A-2005,M-Pizza,PY-005-01-1744121040,85.81,USD,online,2025-04-08T14:04:00
A-2005,M-Cinema,PY-005-02-1744132560,189.79,USD,pos,2025-04-08T17:16:00
A-2005,M-Electro,PY-005-03-1744145160,150.93,USD,mobile,2025-04-08T20:46:00
A-2005,M-Home,PY-005-04-1744152540,27.21,USD,online,2025-04-08T22:49:00
A-2006,M-Grocery,PY-006-00-1744190940,209.98,USD,mobile,2025-04-09T09:29:00
A-2006,M-RideShare,PY-006-01-1744205520,113.17,USD,pos,2025-04-09T13:32:00
A-2006,M-Tools,PY-006-02-1744219140,135.15,USD,pos,2025-04-09T17:19:00
A-2006,M-RideShare,PY-006-03-1744228080,120.05,USD,mobile,2025-04-09T19:48:00
A-2006,M-Home,PY-006-04-1744234680,109.03,USD,pos,2025-04-09T21:38:00
A-2007,M-FastFood,PY-007-00-1744282560,54.96,USD,pos,2025-04-10T10:56:00
A-2007,M-Online,PY-007-01-1744293900,161.82,USD,pos,2025-04-10T14:05:00
A-2007,M-Pharmacy,PY-007-02-1744307340,30.86,USD,online,2025-04-10T17:49:00
A-2007,M-Gas,PY-007-03-1744315800,117.51,USD,mobile,2025-04-10T20:10:00
A-2007,M-Cinema,PY-007-04-1744323180,166.89,USD,mobile,2025-04-10T22:13:00
A-2008,M-FastFood,PY-008-00-1744364700,89.58,USD,mobile,2025-04-11T09:45:00
A-2008,M-Fashion,PY-008-01-1744381380,198.22,USD,online,2025-04-11T14:23:00
A-2008,M-Books,PY-008-02-1744384500,16.89,USD,pos,2025-04-11T15:15:00
A-2008,M-Books,PY-008-03-1744403700,130.69,USD,pos,2025-04-11T20:35:00
A-2008,M-Coffee,PY-008-04-1744407900,52.68,USD,pos,2025-04-11T21:45:00
A-2009,M-Tools,PY-009-00-1744452240,54.65,USD,mobile,2025-04-12T10:04:00
A-2009,M-Cinema,PY-009-01-1744463580,31.71,USD,mobile,2025-04-12T13:13:00
A-2009,M-Books,PY-009-02-1744479000,173.26,USD,online,2025-04-12T17:30:00
A-2009,M-Electro,PY-009-03-1744481160,146.00,USD,online,2025-04-12T18:06:00
A-2009,M-Fashion,PY-009-04-1744496760,190.45,USD,pos,2025-04-12T22:26:00
A-2010,M-Electro,PY-010-00-1744544460,16.15,USD,mobile,2025-04-13T11:41:00
A-2010,M-Electro,PY-010-01-1744552260,56.96,USD,pos,2025-04-13T13:51:00
A-2010,M-Pharmacy,PY-010-02-1744565280,94.55,USD,online,2025-04-13T17:28:00
A-2010,M-Online,PY-010-03-1744571700,99.16,USD,mobile,2025-04-13T19:15:00
A-2010,M-Cinema,PY-010-04-1744578180,184.42,USD,pos,2025-04-13T21:03:00
A-2011,M-Sports,PY-011-00-1744621800,108.38,USD,pos,2025-04-14T09:10:00
A-2011,M-Coffee,PY-011-01-1744639020,38.73,USD,pos,2025-04-14T13:57:00
A-2011,M-Fashion,PY-011-02-1744647360,64.90,USD,mobile,2025-04-14T16:16:00
A-2011,M-Cinema,PY-011-03-1744663800,146.63,USD,online,2025-04-14T20:50:00
A-2011,M-FastFood,PY-011-04-1744665120,50.24,USD,pos,2025-04-14T21:12:00
A-2012,M-Cinema,PY-012-00-1744717620,16.23,USD,online,2025-04-15T11:47:00
A-2012,M-Garden,PY-012-01-1744718580,106.46,USD,mobile,2025-04-15T12:03:00
A-2012,M-Tools,PY-012-02-1744729380,20.38,USD,pos,2025-04-15T15:03:00
A-2012,M-Online,PY-012-03-1744742280,149.52,USD,pos,2025-04-15T18:38:00
A-2012,M-Garden,PY-012-04-1744754820,56.43,USD,mobile,2025-04-15T22:07:00
A-2013,M-Online,PY-013-00-1744796340,93.97,USD,mobile,2025-04-16T09:39:00
A-2013,M-Home,PY-013-01-1744813980,205.83,USD,pos,2025-04-16T14:33:00
A-2013,M-Home,PY-013-02-1744825500,54.79,USD,online,2025-04-16T17:45:00
A-2013,M-FastFood,PY-013-03-1744828920,102.22,USD,pos,2025-04-16T18:42:00
A-2013,M-Toys,PY-013-04-1744838940,219.66,USD,pos,2025-04-16T21:29:00
A-2014,M-Streaming,PY-014-00-1744882440,112.78,USD,pos,2025-04-17T09:34:00
A-2014,M-Online,PY-014-01-1744898160,193.80,USD,online,2025-04-17T13:56:00
A-2014,M-Fashion,PY-014-02-1744906200,183.92,USD,mobile,2025-04-17T16:10:00
A-2014,M-Tools,PY-014-03-1744918740,4.70,USD,mobile,2025-04-17T19:39:00
A-2014,M-Electro,PY-014-04-1744930740,206.75,USD,pos,2025-04-17T22:59:00
A-2015,M-Electro,PY-015-00-1744970820,164.10,USD,pos,2025-04-18T10:07:00
A-2015,M-Toys,PY-015-01-1744982280,48.71,USD,online,2025-04-18T13:18:00
A-2015,M-Gas,PY-015-02-1744990980,112.67,USD,online,2025-04-18T15:43:00
A-2015,M-Sports,PY-015-03-1744999500,182.97,USD,pos,2025-04-18T18:05:00
A-2015,M-Pharmacy,PY-015-04-1745011260,141.25,USD,online,2025-04-18T21:21:00
A-2016,M-Fashion,PY-016-00-1745056020,122.71,USD,online,2025-04-19T09:47:00
A-2016,M-Electro,PY-016-01-1745071200,19.33,USD,mobile,2025-04-19T14:00:00
A-2016,M-Coffee,PY-016-02-1745076840,184.11,USD,mobile,2025-04-19T15:34:00
A-2016,M-Sports,PY-016-03-1745093340,30.66,USD,online,2025-04-19T20:09:00
A-2016,M-Coffee,PY-016-04-1745103420,198.07,USD,pos,2025-04-19T22:57:00
A-2017,M-Electro,PY-017-00-1745147700,79.75,USD,mobile,2025-04-20T11:15:00
A-2017,M-Pharmacy,PY-017-01-1745156340,203.89,USD,pos,2025-04-20T13:39:00
A-2017,M-RideShare,PY-017-02-1745164260,194.27,USD,pos,2025-04-20T15:51:00
A-2017,M-Home,PY-017-03-1745174820,172.78,USD,online,2025-04-20T18:47:00
A-2017,M-Books,PY-017-04-1745193300,60.90,USD,mobile,2025-04-20T23:55:00
A-2018,M-Coffee,PY-018-00-1745227440,189.31,USD,pos,2025-04-21T09:24:00
A-2018,M-Fashion,PY-018-01-1745239920,78.88,USD,pos,2025-04-21T12:52:00
A-2018,M-Streaming,PY-018-02-1745247660,89.47,USD,online,2025-04-21T15:01:00
A-2018,M-Gas,PY-018-03-1745261340,79.20,USD,mobile,2025-04-21T18:49:00
A-2018,M-Cinema,PY-018-04-1745275380,74.86,USD,pos,2025-04-21T22:43:00
A-2019,M-Gas,PY-019-00-1745315760,41.75,USD,online,2025-04-22T09:56:00
A-2019,M-Toys,PY-019-01-1745323560,97.30,USD,mobile,2025-04-22T12:06:00
A-2019,M-Toys,PY-019-02-1745339220,216.58,USD,pos,2025-04-22T16:27:00
A-2019,M-Garden,PY-019-03-1745351820,44.25,USD,pos,2025-04-22T19:57:00
A-2019,M-Grocery,PY-019-04-1745364420,115.82,USD,mobile,2025-04-22T23:27:00
A-2020,M-Streaming,PY-020-00-1745408760,82.04,USD,pos,2025-04-23T11:46:00
A-2020,M-Home,PY-020-01-1745420280,138.22,USD,mobile,2025-04-23T14:58:00
A-2020,M-FastFood,PY-020-02-1745423160,113.05,USD,mobile,2025-04-23T15:46:00
A-2020,M-Pizza,PY-020-03-1745436000,154.29,USD,mobile,2025-04-23T19:20:00
A-2020,M-Sports,PY-020-04-1745442720,147.29,USD,online,2025-04-23T21:12:00
A-2021,M-RideShare,PY-021-00-1745495220,136.57,USD,online,2025-04-24T11:47:00
A-2021,M-Grocery,PY-021-01-1745501700,68.94,USD,pos,2025-04-24T13:35:00
A-2021,M-Garden,PY-021-02-1745513400,134.65,USD,online,2025-04-24T16:50:00
A-2021,M-Fashion,PY-021-03-1745522880,149.61,USD,mobile,2025-04-24T19:28:00
